platform_id,rank,rank_delta,puu_id,summoner_name,riot_id_name,riot_id_tag_line,tier,lp,win_cnt,loss_cnt,win_rate,level,icon_id,pro_streamer,name,team_as,most_role,most_champion,rest_cnt,ai_score_avg,winning
NA1,24,2,QOT0olH6DTc1js6kLp1eiA6Zuqijc-eQz2X5Ffg_pu77XWkz4r3CuBYBowhXTOwtrPDmt-_jb8SULQ,Sheiden5,felisa,0001,CHALLENGER,1135,108,55,0.663,132,6555,,,,Jungle,"['203', '64', '104', '141', '24']",1,0.0,4
NA1,46,-21,W6Mt9CLriyCRvKRFDGNgVy24w53gpbMuQKveK0QsD92Eu2Kvvv4xaiNdXz53RpAxmiB-8m9vU5ptPQ,smurphd,smurphd,ff15,CHALLENGER,1044,165,121,0.577,341,6502,,,,Jungle,"['234', '203', '86', '106', '63']",1,0.0,-1
NA1,16,-1,zxnzNs1nrozuQ_QXNm0VKIs0ygEi1HV4TdfwyIyOW7593SI50EPtEEyaOmqftMkjJdAtXYe533NR-Q,MySwordCrimson,Crimson,gyatt,CHALLENGER,1223,162,114,0.587,899,5769,,,,Top,"['24', '266', '114', '2', '92']",1,0.0,-2
NA1,38,19,hQotNGecZm3fhM0Hh_MwNzxZ_7nKv84PjwzpWAVztVpbYmrJZ0JIASQ8YJuWyXNkuVujevZRHsQreg,ARMAO,ARMAO,NA1,CHALLENGER,1073,198,159,0.555,287,29,pro,Armao,IMT,Jungle,"['203', '254', '5', '163', '64']",1,0.0,3
NA1,76,-1,TdwwhVUpDa4V2EiCaqCCYz2QRNJz87y2r9cDI8k0T3s3VpNHupDV77qYvPIvuGGf5kfnQfd6YReXXA,Wocaoo,Wocaoo,NA1,CHALLENGER,937,126,91,0.581,788,3891,,,,Jungle,"['203', '64', '163', '24', '4']",1,0.0,-1
NA1,32,-1,O0a3dLfGsgKEw1Z4VfzYBms8BY4wCD2RNovOheQHyLEgNlec_1fQuCQL6XHgaBcjOlaUqTFY0ntAiA,Dhokla,Dhokla,NA1,CHALLENGER,1097,240,201,0.544,680,5077,pro,Dhokla,NRG,Top,"['126', '266', '4', '77', '24']",1,0.0,-4
NA1,67,-2,Hf-LIMMrNBM0xCug-FUtcOweHg8QEeaik6PeR119nzSDSl0eKhr7SEC9y_-Vufr-EunBxYunMh9sEA,Tactical0,Tactical0,NA1,CHALLENGER,981,120,83,0.591,311,5489,pro,Tactical,IMT,Bot,"['221', '110', '901', '235', '145']",1,0.0,4
NA1,66,-2,mUDLA-7-id6_yBj5pShS5sHfG7h51HD_XkwSLA10cbDve1LC-tQvoniqEWUcmZ6aPekvbkrLbsu2DA,lunacia,lunacia,曹雨寒,CHALLENGER,981,196,164,0.544,979,5178,,,,Top,"['103', '266', '106']",1,0.0,-2
NA1,83,0,6gh3slg_iH6donhLf9Hx7YLN568G9TwrBJnq7itiayBtaUN1xnLgAb3-lf_jlgi3_Woitaeb6od6RQ,Matrixmdmd,Matrixmdmd,NA1,CHALLENGER,922,112,57,0.663,63,4666,,,,Middle,"['136', '79', '7', '18', '43']",1,0.0,2
NA1,84,2,5-C1Qb58uvNdicC03gfg6_ToX9qJU4ro3qPzM2u0UeaaJgbbO5BEv265yL-xWgLF7KIe5ykrILGGrA,SLU DARKWINGS,DARKWINGS,NA3,CHALLENGER,918,137,93,0.596,574,3353,,,,Middle,"['126', '18', '910', '266', '163']",1,0.0,1
NA1,41,1,QJY8Tw-i7o6C6JBTpBXNrw1zjUcfsgyu7JofV3gHI7NVCdncPPYUHi6TyIGYVVJOx9tl0rmzaBfSlw,jgkong,jgkong,NA1,CHALLENGER,1052,131,75,0.636,124,4022,,,,Supporter,"['526', '412', '201', '555', '164']",1,0.0,-1
NA1,2,0,jIaMGKSnaA58U79IOaItzm1RQMra0omYG4pbD3o_KIiDNKMSUe1i_g-hIqrmo0JWSxwkv9Abttvsjw,yukinoooooo,buenos dias,cat,CHALLENGER,1578,311,243,0.561,663,4781,,,,Jungle,"['163', '234', '64', '421', '63']",1,0.0,-2
NA1,44,1,bwgYcBDL-98pOr5M4NBK0HN0Tw32hYiRGw6EiBe4snjwZ-YmwLhjVR6nH70fWfSEbChW4xPW_QRqvg,TE AMO KARLA,Mataz,123,CHALLENGER,1047,120,69,0.635,185,6284,,,,Jungle,"['234', '78', '421', '24', '76']",1,0.0,3
NA1,37,1,scaBRydP4mtJOPAgnvJ99paPOfWPg-jQTuWoKbeyid8pJqpcgEYmW1iIm1vKQVOfZzBFo_fEoDYMrg,Bejjj,Bejjj,NA1,CHALLENGER,1078,160,112,0.588,197,6498,,,,Top,"['114', '79', '24', '517', '126']",1,0.0,2
NA1,5,0,wRyB8AoNQ4u0pRpkZ6T7utAlkRbPkT_XwX-xNdA_YpqmjUITnt7L-yjgL8FdBZh3ovdA1UuAifAR_A,Kenvi,Kenvi,NA1,CHALLENGER,1402,178,119,0.599,305,6278,pro,Kenvi,UST,Jungle,"['24', '203', '76', '106', '68']",1,0.0,-1
NA1,51,-4,VE92KBg6SMEW0FBZ2ZUonPidXL8nwOJ3-p9ViLy5kvkideBrJRulS7tfYdmW-9oDeTvetbGsovp3iA,sup line,KDKD,9999,CHALLENGER,1032,219,182,0.546,449,6316,,,,Supporter,"['111', '412', '235', '432', '497']",1,0.0,7
NA1,28,2,9f-d9y3uqvZaXpV19byUOOJSbKCY2s-PCxm-5CVW6is86_A4_-Ci29HyGeKlJr1pn5hC7fuHrEew5w,TL Honda CoreJJ,TL Honda CoreJJ,1123,CHALLENGER,1115,171,127,0.574,487,3847,pro,CoreJJ,TL,Supporter,"['22', '25', '12', '267', '111']",1,0.0,1
NA1,1,0,q4qnGrikXcbG1slzUQ4od7GQOh8f1vs1csJqqU4UejpQOeRWwAxgXXQqfCh8m0S7Nrj0X49gC0ZEvw,laineebunnie,yuu13,sus,CHALLENGER,1658,146,63,0.699,79,5692,,,,Jungle,"['200', '29', '107', '117', '11']",1,0.0,3
NA1,70,0,YTVieRYPcmDJUIKauiDhrC4NSgwEJW4GlhWOOX6zUoRYc4_nW2GWxULqlOzR12CASz0CRouXEL5mmw,SlayerSupremelol,SIayer Supreme,2003,CHALLENGER,969,128,86,0.598,204,6333,,,,Jungle,"['233', '25', '102', '53', '114']",1,0.0,2
NA1,22,2,2xEZSIRw9RMbMS0GUehfnWlLqyssp0co9df4A2uVOMn9JnfyZ5-e9kj9IQ1aEpDLWgqIsk2cYGrtFw,array4,array,1128,CHALLENGER,1143,167,124,0.574,314,6307,,,,Bot,"['901', '222', '110', '235', '15']",1,0.0,-1
NA1,96,53,ecemDmq3fTnD1oM0zM1QYw0WYwEz-Ps4WLyG5H3jXO9aJ5Z5l13uxAqGIZUKFfUU_4v-dHatZKpoKg,HU Kidbeatz,kidbeatz,BBW,CHALLENGER,889,94,53,0.639,453,6060,,,,Jungle,"['106', '77', '84', '3', '427']",1,0.0,3
NA1,4,0,h84Q_iIqZm11t9RRWsvZHF7ptArPryvynOEmo4fjDBZfq0E6tRu0d2P5AYeRJmlGqnqxxezcDQYFfQ,Mrs Daughtrey,MYSTIC77,MYSTC,CHALLENGER,1457,177,115,0.606,379,6370,,,,Bot,"['81', '145', '61']",1,0.0,6
